"1811 Riverview Dr, Endicott, NY 13760",LISTING BY: EXIT REALTY HOMEWARD BOUND,"$250,000",4,3,"2,100"
"2056 Spruce St, North Collins, NY 14111","MLS ID #B1526407, LISTING BY: DANAHY REAL ESTATE","$155,000",2,2,"1,764"
"7 Rhonda Lane, Farmingdale, NY 11735",LISTING BY: COLDWELL BANKER AMERICAN HOMES,"$599,500",3,2,--
"79 Woodward Ave, Kenmore, NY 14217","MLS ID #B1526427, LISTING BY: BUFFALO HOME SELLERS LLC","$209,900",3,2,"1,596"
"83 Miller Hill Drive, Lagrangeville, NY 12540",LISTING BY: RE/MAX CLASSIC REALTY,"$386,400",4,4,"3,772"
"25 Vernon Dr, Cheektowaga, NY 14225","MLS ID #B1526327, LISTING BY: GURNEY BECKER & BOURNE","$159,000",4,2,"1,401"
"100 Ridgeview Dr, East Rochester, NY 14445","MLS ID #R1525559, LISTING BY: KELLER WILLIAMS REALTY GREATER ROCHESTER","$174,900",3,1,"1,368"
"34 Partridge Walk, Lancaster, NY 14086","MLS ID #B1522382, LISTING BY: FLIPPED REALTY LLC","$289,900",3,2,"1,445"
"1070 Church Rd, Angola, NY 14006","MLS ID #R1526494, LISTING BY: KELLER WILLIAMS REALTY","$27,000",3,1,"1,200"
"1811 Riverview Dr, Endicott, NY 13760",LISTING BY: EXIT REALTY HOMEWARD BOUND,"$250,000",4,3,"2,100"
"2056 Spruce St, North Collins, NY 14111","MLS ID #B1526407, LISTING BY: DANAHY REAL ESTATE","$155,000",2,2,"1,764"
"7 Rhonda Lane, Farmingdale, NY 11735",LISTING BY: COLDWELL BANKER AMERICAN HOMES,"$599,500",3,2,--
"79 Woodward Ave, Kenmore, NY 14217","MLS ID #B1526427, LISTING BY: BUFFALO HOME SELLERS LLC","$209,900",3,2,"1,596"
"83 Miller Hill Drive, Lagrangeville, NY 12540",LISTING BY: RE/MAX CLASSIC REALTY,"$386,400",4,4,"3,772"
"25 Vernon Dr, Cheektowaga, NY 14225","MLS ID #B1526327, LISTING BY: GURNEY BECKER & BOURNE","$159,000",4,2,"1,401"
"100 Ridgeview Dr, East Rochester, NY 14445","MLS ID #R1525559, LISTING BY: KELLER WILLIAMS REALTY GREATER ROCHESTER","$174,900",3,1,"1,368"
"132 Highbridge Road, West Coxsackie, NY 12192",LISTING BY: GABLER REALTY LLC,"$360,000",3,2,"2,080"
"79 Lanning Rd, Honeoye Falls, NY 14472","MLS ID #R1522878, LISTING BY: MITCHELL PIERSON, JR., INC.","$485,000",4,3,"3,014"
"41 Bell Ln, Freeville, NY 13068","MLS ID #S1520882, LISTING BY: YAMAN REAL ESTATE","$69,000",2,2,"1,200"
"211 Black Walnut Dr, Rochester, NY 14615","MLS ID #R1525331, LISTING BY: TRU AGENT REAL ESTATE","$219,900",4,2,"2,088"
"112 Bright Autumn Ln, Rochester, NY 14626","MLS ID #R1525201, LISTING BY: SHARON QUATAERT REALTY","$225,000",3,2,"1,640"
"2292 1st St, Grand Island, NY 14072","MLS ID #B1526476, LISTING BY: KELLER WILLIAMS REALTY WNY","$324,900",4,2,"1,798"
"20 Hildreth Place, Yonkers, NY 10704",LISTING BY: HOULIHAN LAWRENCE INC.,"$659,000",4,3,"2,300"
"166 W Main St, Stamford, NY 12167","MLS ID #R1526157, LISTING BY: CHARLOTTEVILLE REALTY","$175,000",4,2,"1,912"
"23 Dorwood Drive, Loudonville, NY 12211",LISTING BY: KELLER WILLIAMS CAPITAL DIST,"$330,000",4,2,"1,869"
"20 Dumont St, Rochester, NY 14617","MLS ID #R1526162, LISTING BY: KELLER WILLIAMS REALTY GREATER ROCHESTER","$235,000",4,2,"1,628"
"79 Lanning Rd, Honeoye Falls, NY 14472","MLS ID #R1522878, LISTING BY: MITCHELL PIERSON, JR., INC.","$485,000",4,3,"3,014"
"41 Bell Ln, Freeville, NY 13068","MLS ID #S1520882, LISTING BY: YAMAN REAL ESTATE","$69,000",2,2,"1,200"
"211 Black Walnut Dr, Rochester, NY 14615","MLS ID #R1525331, LISTING BY: TRU AGENT REAL ESTATE","$219,900",4,2,"2,088"
"112 Bright Autumn Ln, Rochester, NY 14626","MLS ID #R1525201, LISTING BY: SHARON QUATAERT REALTY","$225,000",3,2,"1,640"
"2292 1st St, Grand Island, NY 14072","MLS ID #B1526476, LISTING BY: KELLER WILLIAMS REALTY WNY","$324,900",4,2,"1,798"
"20 Hildreth Place, Yonkers, NY 10704",LISTING BY: HOULIHAN LAWRENCE INC.,"$659,000",4,3,"2,300"
"166 W Main St, Stamford, NY 12167","MLS ID #R1526157, LISTING BY: CHARLOTTEVILLE REALTY","$175,000",4,2,"1,912"
"23 Dorwood Drive, Loudonville, NY 12211",LISTING BY: KELLER WILLIAMS CAPITAL DIST,"$330,000",4,2,"1,869"
"20 Dumont St, Rochester, NY 14617","MLS ID #R1526162, LISTING BY: KELLER WILLIAMS REALTY GREATER ROCHESTER","$235,000",4,2,"1,628"
"50 Emery Hill Road, Cortlandt Manor, NY 10567",LISTING BY: COLDWELL BANKER REALTY,"$475,000",4,2,"1,544"
"447 Dodge Rd, Frewsburg, NY 14738","MLS ID #R1526230, LISTING BY: ERA TEAM VP REAL ESTATE","$239,900",3,2,"1,534"
"114 Dari Drive UNIT 114, Holbrook, NY 11741",LISTING BY: HOWARD HANNA COACH,"$350,000",3,3,--
"434 French Rd, Rochester, NY 14618","MLS ID #R1526178, LISTING BY: RE/MAX REALTY GROUP","$319,900",4,2,"2,072"
"17 Timber Ridge Drive, Huntington, NY 11743",LISTING BY: CHARLES RUTENBERG REALTY INC,"$1,825,000",6,8,"6,700"
"21 Pennsylvania Avenue, Hempstead, NY 11550",LISTING BY: WINZONE REALTY INC,"$629,000",3,2,"1,650"
"7433 Bear Ridge Rd, North Tonawanda, NY 14120","MLS ID #B1525468, LISTING BY: HOWARD HANNA WNY INC.","$169,888",2,2,"1,052"
"19 Mertensia Ln, Henrietta, NY 14467","MLS ID #R1525477, LISTING BY: HOWARD HANNA","$229,000",3,2,"1,572"
"6438 Engel Dr, Hamburg, NY 14075","MLS ID #B1526521, LISTING BY: HUNT REAL ESTATE ERA","$269,000",4,2,"2,092"
"1448 Water Cress Dr, Webster, NY 14580","MLS ID #R1525614, LISTING BY: RE/MAX REALTY GROUP","$389,900",4,3,"2,154"
"447 Dodge Rd, Frewsburg, NY 14738","MLS ID #R1526230, LISTING BY: ERA TEAM VP REAL ESTATE","$239,900",3,2,"1,534"
"114 Dari Drive UNIT 114, Holbrook, NY 11741",LISTING BY: HOWARD HANNA COACH,"$350,000",3,3,--
"434 French Rd, Rochester, NY 14618","MLS ID #R1526178, LISTING BY: RE/MAX REALTY GROUP","$319,900",4,2,"2,072"
"17 Timber Ridge Drive, Huntington, NY 11743",LISTING BY: CHARLES RUTENBERG REALTY INC,"$1,825,000",6,8,"6,700"
"21 Pennsylvania Avenue, Hempstead, NY 11550",LISTING BY: WINZONE REALTY INC,"$629,000",3,2,"1,650"
"7433 Bear Ridge Rd, North Tonawanda, NY 14120","MLS ID #B1525468, LISTING BY: HOWARD HANNA WNY INC.","$169,888",2,2,"1,052"
"19 Mertensia Ln, Henrietta, NY 14467","MLS ID #R1525477, LISTING BY: HOWARD HANNA","$229,000",3,2,"1,572"
"6438 Engel Dr, Hamburg, NY 14075","MLS ID #B1526521, LISTING BY: HUNT REAL ESTATE ERA","$269,000",4,2,"2,092"
"1448 Water Cress Dr, Webster, NY 14580","MLS ID #R1525614, LISTING BY: RE/MAX REALTY GROUP","$389,900",4,3,"2,154"
"100 W 57th St UNIT 4JK, Manhattan, NY 10019",LISTING BY: PERGOLOTTI REALTY,"$360,000",3,3,"2,200"
"535 Stewart Avenue, New Hyde Park, NY 11040",LISTING BY: COMPASS GREATER NY LLC,"$599,000",3,2,"1,017"
"2033 Earl Drive, Merrick, NY 11566",LISTING BY: KELLER WILLIAMS REALTY GREATER,"$899,999",5,3,"2,414"
"14 Hardie Rd, Conklin, NY 13748",LISTING BY: WARREN REAL ESTATE (VESTAL),"$204,900",3,3,"2,420"
"759 40th St APT 2R, Brooklyn, NY 11232",LISTING BY: REVIVED RESIDENTIAL,"$435,000",2,1,703
"1-3 Crestview Dr, Plattsburgh, NY 12901",LISTING BY: RIDGELINE REALTY GROUP,"$259,900",3,3,"2,051"
"6255 Italy Valley Rd, Naples, NY 14512","MLS ID #R1526474, LISTING BY: EXP REALTY, LLC","$120,000",1,1,861
"99 Pinehurst Avenue, Albany, NY 12203",LISTING BY: COLDWELL BANKER PRIME PROP.,"$289,900",3,2,"1,430"
"2073 Ellis Creek Rd, Waverly, NY 14892",LISTING BY: WHITETAIL PROPERTIES REAL ESTATE LLC (NY),"$209,900",28.87 acres lot,,
"177 Band Camp Road, Saugerties, NY 12477",LISTING BY: COLDWELL BANKER VILLAGE GREEN,"$649,000",3,2,"2,148"
"535 Stewart Avenue, New Hyde Park, NY 11040",LISTING BY: COMPASS GREATER NY LLC,"$599,000",3,2,"1,017"
"2033 Earl Drive, Merrick, NY 11566",LISTING BY: KELLER WILLIAMS REALTY GREATER,"$899,999",5,3,"2,414"
"14 Hardie Rd, Conklin, NY 13748",LISTING BY: WARREN REAL ESTATE (VESTAL),"$204,900",3,3,"2,420"
"759 40th St APT 2R, Brooklyn, NY 11232",LISTING BY: REVIVED RESIDENTIAL,"$435,000",2,1,703
"1-3 Crestview Dr, Plattsburgh, NY 12901",LISTING BY: RIDGELINE REALTY GROUP,"$259,900",3,3,"2,051"
"6255 Italy Valley Rd, Naples, NY 14512","MLS ID #R1526474, LISTING BY: EXP REALTY, LLC","$120,000",1,1,861
"99 Pinehurst Avenue, Albany, NY 12203",LISTING BY: COLDWELL BANKER PRIME PROP.,"$289,900",3,2,"1,430"
"2073 Ellis Creek Rd, Waverly, NY 14892",LISTING BY: WHITETAIL PROPERTIES REAL ESTATE LLC (NY),"$209,900",28.87 acres lot,,
"177 Band Camp Road, Saugerties, NY 12477",LISTING BY: COLDWELL BANKER VILLAGE GREEN,"$649,000",3,2,"2,148"
